WATERSHED_FEATURE_ID,RB_Status,CT_Status,BT_Status,DV_Status
1906,Confirmed,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed
1907,Confirmed,Confirmed,Very likely: >10 km of suitable stream reaches.,Confirmed
1908,Confirmed,Confirmed,Confirmed,Confirmed
1909,Confirmed,Confirmed,Confirmed,Confirmed
1910,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed
1911,Confirmed,Confirmed,Confirmed,Confirmed
1912,Confirmed,Confirmed,Confirmed,Confirmed
1913,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Likely: 1_10 km of suitable stream reaches.,Likely: 1_10 km of suitable stream reaches.
1914,Confirmed,Confirmed,Confirmed,Confirmed
1915,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed,Very likely: >10 km of suitable stream reaches.
1916,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed,Confirmed
1917,Confirmed,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed
1918,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed,Confirmed
1919,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Confirmed,Likely: 1_10 km of suitable stream reaches.
1920,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Very likely: >10 km of suitable stream reaches.
1921,Confirmed,Likely: 1_10 km of suitable stream reaches.,Confirmed,Very likely: >10 km of suitable stream reaches.
1922,Confirmed,Confirmed,Confirmed,Confirmed
1923,Confirmed,Confirmed,Confirmed,Confirmed
1924,Confirmed,Confirmed,Confirmed,Confirmed
1925,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
1926,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
1927,Very likely: >10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
1928,Likely: 1_10 km of suitable stream reaches.,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
1929,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
1930,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
1931,Confirmed,Confirmed,Unlikely: 0_0.1 km of suitable stream reaches,Unlikely: 0_0.1 km of suitable stream reaches
